TwitterIDsOfHumanUsers,#Friends,#BotFollowees
2868402013,212,8
1348304756,334,8
105158846,145,8
302114763,146,8
191391803,201,8
81239268,248,8
941822652,247,8
50785046,175,8
555411470,332,8
594683175,165,8
1400849420,274,8
192521333,166,8
506892551,113,8
1262434507,150,8
733923254,259,8
1074439423,161,8
2734133342,86,8
3610511,220,8
574959037,356,8
72314098,205,8
1467803281,184,8
3292981394,90,8
951290342,155,8
196179205,61,8
366806549,166,8
610485717,277,8
797268164,164,8
494266249,276,8
225248989,394,8
1497216728,163,8
81393070,173,8
2766841169,311,7
770831810,233,7
770176435,47,7
764731350,212,7
759715687,104,7
277538177,188,7
60811341,176,7
610861270,77,7
71379711,67,7
2840265139,72,7
2807953832,191,7
6775342,224,7
1264637672,173,7
2817888651,310,7
1269835369,29,7
353556149,96,7
135248338,212,7
1355537995,244,7
140018040,98,7
1434623629,148,7
143599785,165,7
359926634,344,7
361746019,179,7
1465100186,109,7
14851579,248,7
14958182,320,7
368675577,198,7
15084319,162,7
369911039,293,7
153690249,353,7
1559643193,207,7
16570956,81,7
1664307984,225,7
3237515738,158,7
17085112,43,7
382361714,85,7
178629201,180,7
185771893,186,7
19478719,230,7
1132376958,191,7
1977477584,277,7
211397444,223,7
2990948929,155,7
21770069,93,7
110087402,132,7
221964205,91,7
2983156296,273,7
226923750,67,7
1143583040,352,7
995452020,148,7
4116007695,98,7
2331598592,97,7
415021649,172,7
83296294,61,7
416802154,269,7
710259321,231,7
2362812823,309,7
420253558,318,7
585849333,170,7
116538160,98,7
502774039,61,7
100459808,288,7
242319331,24,7
454183646,149,7
453885595,229,7
295722548,134,7
440311767,250,7
44321730,354,7
412325725,65,7
101503282,274,7
246128588,148,7
450860458,311,7
45562154,156,7
351621566,128,7
2469738596,308,7
45778279,304,7
2923333680,216,7
460232733,115,7
2886779494,134,7
2484688494,103,7
2487831288,218,7
2771923762,173,7
473043012,255,7
102589750,189,7
24883323,319,7
29396889,181,7
2451451182,141,7
2500522076,335,7
2391776040,139,7
482981498,70,7
483227930,175,7
484613799,150,7
487275447,49,7
49007031,148,7
2528822924,153,7
2251504327,273,7
2202044150,293,7
2540601979,193,7
185165914,189,7
14290542,258,7
2567206992,132,7
1421737704,166,7
2568431617,175,7
1189056510,84,7
2602920025,146,7
262199092,180,7
2675222804,356,7
26771352,261,7
523653988,228,7
343473585,120,7
30429133,237,7
968446106,44,7
545269203,161,7
1033055161,176,7
546312443,265,7
54867711,139,7
948150980,77,7
27165736,340,7
2718570906,195,7
91752355,107,7
898732788,335,7
103562230,249,7
2735506782,212,7
107991930,126,7
82523340,196,7
274917389,137,7
819790166,112,7
28588774,184,7
27493957,123,7
807804577,204,7
805436466,283,7
80000814,361,7
487416678,284,6
488525613,39,6
2300173172,179,6
2323069159,126,6
132621562,68,6
282738890,86,6
2288867162,150,6
1096555944,163,6
2269218732,231,6
724632068,113,6
624223536,296,6
214678407,219,6
113487244,156,6
10352582,267,6
2246856132,89,6
2007021,333,6
2235431615,158,6
117928569,158,6
403461794,73,6
281403145,243,6
1669189561,92,6
2223969871,151,6
218432384,112,6
327510902,165,6
154624409,56,6
1544322560,240,6
2182611791,336,6
67529607,210,6
275183383,71,6
345197864,98,6
217433376,128,6
215992174,136,6
497557514,182,6
3987939853,144,6
619744784,190,6
398442529,212,6
397629967,246,6
257111136,94,6
397494847,362,6
499933271,124,6
2573439865,171,6
20849470,61,6
204444302,100,6
1954448478,72,6
2585393083,290,6
19368233,36,6
1179541274,44,6
394135675,200,6
39288051,219,6
346829273,168,6
113134931,36,6
1913843024,132,6
3116708222,180,6
299271462,234,6
274002752,187,6
2604530259,151,6
26133560,91,6
2906620768,97,6
26192354,30,6
1901595415,103,6
1059054242,399,6
1901195994,340,6
187262210,139,6
3258324619,164,6
384547005,175,6
183511605,262,6
280306114,366,6
83585169,180,6
571602303,64,6
707697690,194,6
180573776,121,6
2998417670,72,6
381384396,88,6
537841059,131,6
601192738,78,6
2793360007,154,6
171972995,173,6
379728710,136,6
170642321,163,6
1676639478,247,6
826579765,107,6
166211662,284,6
345813518,161,6
77558505,347,6
96146127,45,6
546885822,161,6
406150965,206,6
43870029,164,6
440901699,335,6
397034400,87,6
376012638,349,6
270646246,213,6
246208736,248,6
1624682809,326,6
1177471489,191,6
352825934,98,6
352822866,217,6
324020939,201,6
455950099,208,6
8029522,295,6
46841328,389,6
470394724,272,6
158859711,108,6
157982762,206,6
50327694,103,6
369223407,307,6
1484793769,268,6
524836438,168,6
551611541,98,6
948824810,230,6
240561724,252,6
2476205954,273,6
604961774,284,6
338151653,326,6
2480413705,337,6
6175692,110,6
138449260,321,6
345505380,170,6
557215750,130,6
2771573990,332,6
136245387,234,6
114467204,123,6
2347977979,297,6
834141984,244,6
35413411,255,6
1336097480,185,6
133387350,26,6
234715592,120,6
413233876,171,6
33651270,400,6
335208230,170,6
2482378631,284,6
559486409,301,6
479258753,244,6
715457424,167,6
244530155,105,6
102760709,274,6
560990422,209,6
353011489,166,6
996130794,280,6
483204176,221,6
74707817,119,6
1032386005,219,6
2787096553,136,6
2980901837,134,6
2337952426,92,6
409568090,141,6
3319872952,222,6
52108988,106,5
33747826,26,5
338254192,224,5
3060478163,56,5
338286563,184,5
341169083,74,5
1112944590,237,5
352909198,139,5
36765234,352,5
36874110,342,5
1102593332,218,5
378814988,42,5
379176983,102,5
379472749,158,5
381523148,391,5
